Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper
,Occupational exposure to asbestos,Deaths,2013,2013,194000.0,155000.0,233000.0
,Occupational exposure to polycyclic aromatic hydrocarbons,Deaths,2013,2013,6000.0,5000.0,7000.0
,Occupational exposure to silica,Deaths,2013,2013,21000.0,19000.0,24000.0
,Occupational exposure to sulphuric acid,Deaths,2013,2013,4000.0,3000.0,5000.0
,Occupational exposure to trichloroethylene,Deaths,2013,2013,0.0,0.0,0.0
,Occupational exposure to arsenic,Deaths,2013,2013,4000.0,3000.0,4000.0
,Occupational exposure to benzene,Deaths,2013,2013,3000.0,2000.0,3000.0
,Occupational exposure to beryllium,Deaths,2013,2013,0.0,0.0,0.0
,Occupational exposure to cadmium,Deaths,2013,2013,1000.0,1000.0,1000.0
,Occupational exposure to chromium,Deaths,2013,2013,3000.0,2000.0,3000.0
,Occupational exposure to diesel engine exhaust,Deaths,2013,2013,37000.0,32000.0,43000.0
,Occupational exposure to second-hand smoke,Deaths,2013,2013,34000.0,31000.0,37000.0
,Occupational exposure to formaldehyde,Deaths,2013,2013,1000.0,1000.0,1000.0
,Occupational exposure to nickel,Deaths,2013,2013,12000.0,9000.0,16000.0
,Occupational asthmagens,Deaths,2013,2013,52000.0,42000.0,70000.0
,"Occupational particulate matter, gases, and fumes",Deaths,2013,2013,205000.0,164000.0,251000.0
,Occupational injuries,Deaths,2013,2013,159000.0,127000.0,206000.0
,Behavioural risks,Deaths,2013,2013,21909000.0,20446000.0,23383000.0
,Child and maternal malnutrition,Deaths,2013,2013,1665000.0,1487000.0,1840000.0
,Childhood undernutrition,Deaths,2013,2013,1327000.0,1169000.0,1481000.0
,Childhood underweight,Deaths,2013,2013,386000.0,309000.0,463000.0
,Child wasting,Deaths,2013,2013,1247000.0,1034000.0,1413000.0
,Child stunting,Deaths,2013,2013,218000.0,107000.0,389000.0
,Suboptimal breastfeeding,Deaths,2013,2013,501000.0,318000.0,697000.0
,Non-exclusive breastfeeding,Deaths,2013,2013,442000.0,264000.0,641000.0
,Discontinued breastfeeding,Deaths,2013,2013,59000.0,20000.0,110000.0
,Iron deficiency,Deaths,2013,2013,199000.0,137000.0,275000.0
,Vitamin A deficiency,Deaths,2013,2013,85000.0,51000.0,125000.0
,Zinc deficiency,Deaths,2013,2013,66000.0,4000.0,153000.0
,Tobacco,Deaths,2013,2013,6149000.0,5587000.0,6762000.0
,Smoking,Deaths,2013,2013,5818000.0,5258000.0,6435000.0
,Second-hand smoke,Deaths,2013,2013,331000.0,308000.0,355000.0
,Alcohol and drug use,Deaths,2013,2013,3163000.0,2537000.0,3656000.0
,High alcohol use,Deaths,2013,2013,2786000.0,2146000.0,3287000.0
,Drug use,Deaths,2013,2013,429000.0,381000.0,480000.0
,Dietary risks,Deaths,2013,2013,11274000.0,9656000.0,12957000.0
,Diet low in fruits,Deaths,2013,2013,3413000.0,2207000.0,4546000.0
,Diet low in vegetables,Deaths,2013,2013,1782000.0,1405000.0,2173000.0
,Diet low in whole grains,Deaths,2013,2013,2049000.0,1575000.0,2525000.0
,Diet low in nuts and seeds,Deaths,2013,2013,1195000.0,816000.0,1578000.0
,Diet low in milk,Deaths,2013,2013,105000.0,30000.0,177000.0
,Diet high in red meat,Deaths,2013,2013,102000.0,89000.0,116000.0
,Diet high in processed meat,Deaths,2013,2013,644000.0,467000.0,881000.0
,"Diet high in 
sugar sweetened beverages",Deaths,2013,2013,126000.0,96000.0,166000.0
,Diet low in fiber,Deaths,2013,2013,1009000.0,817000.0,1207000.0
,Diet low in calcium,Deaths,2013,2013,141000.0,122000.0,160000.0
,Diet low in seafood omega-3 fatty acids,Deaths,2013,2013,1031000.0,769000.0,1304000.0
,"Diet low in 
polyunsaturated fatty acids",Deaths,2013,2013,581000.0,512000.0,651000.0
,Diet high in trans fatty acids,Deaths,2013,2013,405000.0,218000.0,645000.0
,Diet high in sodium,Deaths,2013,2013,3689000.0,2028000.0,5810000.0
,Sexual abuse and violence,Deaths,2013,2013,257000.0,203000.0,312000.0
,Childhood sexual abuse,Deaths,2013,2013,68000.0,55000.0,82000.0
,Intimate partner violence,Deaths,2013,2013,197000.0,146000.0,251000.0
,Unsafe sex,Deaths,2013,2013,1481000.0,1383000.0,1621000.0
,Low physical activity,Deaths,2013,2013,2182000.0,1858000.0,2555000.0
,Metabolic risks,Deaths,2013,2013,15723000.0,14719000.0,16767000.0
,High fasting plasma glucose,Deaths,2013,2013,4014000.0,3499000.0,4641000.0
,High LDL cholesterol*,Deaths,2013,2013,2830000.0,1966000.0,4053000.0
,High systolic blood pressure,Deaths,2013,2013,10364000.0,9178000.0,11544000.0
,High body-mass index,Deaths,2013,2013,4444000.0,3716000.0,5169000.0
,Low bone mineral density,Deaths,2013,2013,334000.0,285000.0,361000.0
,Kidney dysfunction*,Deaths,2013,2013,2164000.0,1960000.0,2387000.0
,All risk factors,DALYs,2013,2013,996554000.0,927157000.0,1072340000.0
,Environmental/occupational risks,DALYs,2013,2013,289517000.0,265778000.0,312094000.0
,"Unsafe water, sanitation, and handwashing",DALYs,2013,2013,83867000.0,72879000.0,95568000.0
,Unsafe water source,DALYs,2013,2013,75125000.0,59952000.0,89756000.0
,Unsafe sanitation,DALYs,2013,2013,49039000.0,41770000.0,56227000.0
,No access to handwashing facility,DALYs,2013,2013,30721000.0,24281000.0,37626000.0
,Air pollution,DALYs,2013,2013,141456000.0,130071000.0,153652000.0
,Ambient particulate matter pollution,DALYs,2013,2013,69673000.0,65585000.0,73552000.0
,Household air pollution from solid fuels,DALYs,2013,2013,81087000.0,70025000.0,92802000.0
,Ambient ozone pollution,DALYs,2013,2013,5073000.0,3576000.0,6620000.0
,Other environmental risks,DALYs,2013,2013,18822000.0,13300000.0,25407000.0
,Residential radon,DALYs,2013,2013,1979000.0,1331000.0,2768000.0
,Lead exposure,DALYs,2013,2013,16843000.0,11494000.0,23505000.0
,Occupational risks,DALYs,2013,2013,55352000.0,44589000.0,67890000.0
,Occupational carcinogens,DALYs,2013,2013,5803000.0,5076000.0,6526000.0
,Occupational exposure to asbestos,DALYs,2013,2013,3402000.0,2725000.0,4113000.0
,Occupational exposure to polycyclic aromatic hydrocarbons,DALYs,2013,2013,125000.0,102000.0,146000.0
,Occupational exposure to silica,DALYs,2013,2013,454000.0,404000.0,509000.0
