Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Group,Overarching_group
,Diet low in calcium,Deaths,2010,2010,125594.0,88323.0,164800.0,Dietary risks,Behavioural risks
,Diet low in seafood omega-3 fatty acids,Deaths,2010,2010,1389896.0,1010300.0,1781401.0,Dietary risks,Behavioural risks
,Diet low in polyunsaturated fatty acids,Deaths,2010,2010,533603.0,245096.0,820854.0,Dietary risks,Behavioural risks
,Diet high in trans fatty acids,Deaths,2010,2010,515260.0,371081.0,649451.0,Dietary risks,Behavioural risks
,Diet high in sodium,Deaths,2010,2010,3104308.0,2016734.0,4105019.0,Dietary risks,Behavioural risks
,Low physical activity,Deaths,2010,2010,3183940.0,2657204.0,3718963.0,Low physical activity,Behavioural risks
,Occupational risks,Deaths,2010,2010,852107.0,659652.0,1062443.0,Occupational risks,Environmental/occupational risks
,Occupational carcinogens,Deaths,2010,2010,118097.0,77249.0,160431.0,Occupational risks,Environmental/occupational risks
,Occupational asthmagens,Deaths,2010,2010,33716.0,22844.0,58659.0,Occupational risks,Environmental/occupational risks
,"Occupational particulate matter, gases, and fumes",Deaths,2010,2010,218864.0,100403.0,344633.0,Occupational risks,Environmental/occupational risks
,Occupational noise,Deaths,2010,2010,0.0,0.0,0.0,Occupational risks,Environmental/occupational risks
,Occupational injuries,Deaths,2010,2010,481429.0,363778.0,639590.0,Occupational risks,Environmental/occupational risks
,Intimate partner violence,Deaths,2010,2010,186365.0,92028.0,280059.0,Intimate partner violence,Behavioural risks
,Unsafe water source,DALYs,2010,1990,21172000.0,1517000.0,40491000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Unsafe sanitation,DALYs,2010,1990,36050000.0,1115000.0,66871000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Ambient particulate matter pollution,DALYs,2010,1990,81699000.0,71012000.0,92859000.0,Air pollution,Environmental/occupational risks
,Household air pollution from solid fuels,DALYs,2010,1990,175909000.0,141870000.0,207095000.0,Air pollution,Environmental/occupational risks
,Ambient ozone pollution,DALYs,2010,1990,2534000.0,851000.0,4426000.0,Air pollution,Environmental/occupational risks
,Other environmental risks,DALYs,2010,1990,5365000.0,4534000.0,6279000.0,Other environmental risks,Environmental/occupational risks
,Lead exposure,DALYs,2010,1990,5365000.0,4534000.0,6279000.0,Other environmental risks,Environmental/occupational risks
,Suboptimal breastfeeding,DALYs,2010,1990,110261000.0,69615000.0,153539000.0,Child and maternal malnutrition,Behavioural risks
,Iron deficiency,DALYs,2010,1990,51841000.0,37477000.0,71202000.0,Child and maternal malnutrition,Behavioural risks
,Vitamin A deficiency,DALYs,2010,1990,30288000.0,14884000.0,54488000.0,Child and maternal malnutrition,Behavioural risks
,Zinc deficiency,DALYs,2010,1990,24375000.0,5385000.0,45685000.0,Child and maternal malnutrition,Behavioural risks
,Tobacco,DALYs,2010,1990,151766000.0,136367000.0,169522000.0,Tobacco,Behavioural risks
,Smoking,DALYs,2010,1990,113740000.0,100454000.0,131675000.0,Tobacco,Behavioural risks
,Second-hand smoke,DALYs,2010,1990,38026000.0,28832000.0,47544000.0,Tobacco,Behavioural risks
