Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Group,Overarching_group
3.0,Lead exposure,DALYs,2016,2016,13873550.0,7578920.0,21565040.0,Other environmental risks,Environmental/occupational risks
2.0,Occupational risks,DALYs,2016,2016,75925430.0,66060970.0,86257100.0,Occupational risks,Environmental/occupational risks
3.0,Occupational carcinogens,DALYs,2016,2016,20682730.0,17015370.0,24682770.0,Occupational risks,Environmental/occupational risks
3.0,Occupational asthmagens,DALYs,2016,2016,2339480.0,1860900.0,2923320.0,Occupational risks,Environmental/occupational risks
3.0,"Occupational particulate matter, gases, and fumes",DALYs,2016,2016,9377100.0,7972610.0,10789560.0,Occupational risks,Environmental/occupational risks
3.0,Occupational noise,DALYs,2016,2016,7108280.0,4978560.0,9802690.0,Occupational risks,Environmental/occupational risks
3.0,Occupational injuries,DALYs,2016,2016,21774600.0,19810660.0,24090160.0,Occupational risks,Environmental/occupational risks
3.0,Occupational ergonomic factors,DALYs,2016,2016,15479930.0,10733370.0,20772450.0,Occupational risks,Environmental/occupational risks
1.0,Behavioural risks,DALYs,2016,2016,781103690.0,737052730.0,830058540.0,Other,Behavioural risks
2.0,Child and maternal malnutrition,DALYs,2016,2016,275068980.0,255117960.0,296600820.0,Child and maternal malnutrition,Behavioural risks
3.0,Suboptimal breastfeeding,DALYs,2016,2016,13373250.0,10878180.0,16087130.0,Child and maternal malnutrition,Behavioural risks
3.0,Child growth failure,DALYs,2016,2016,91199770.0,82272240.0,100948470.0,Child and maternal malnutrition,Behavioural risks
3.0,Low birth weight and short gestation,DALYs,2016,2016,144947750.0,137645540.0,152301770.0,Child and maternal malnutrition,Behavioural risks
3.0,Iron deficiency,DALYs,2016,2016,35849870.0,24052890.0,50796920.0,Child and maternal malnutrition,Behavioural risks
3.0,Vitamin A deficiency,DALYs,2016,2016,3979050.0,2357300.0,6000150.0,Child and maternal malnutrition,Behavioural risks
3.0,Zinc deficiency,DALYs,2016,2016,2245650.0,213630.0,5993340.0,Child and maternal malnutrition,Behavioural risks
2.0,Tobacco,DALYs,2016,2016,177302310.0,162327840.0,194250390.0,Tobacco,Behavioural risks
3.0,Smoking,DALYs,2016,2016,155065750.0,140025420.0,170602150.0,Tobacco,Behavioural risks
3.0,Second-hand smoke,DALYs,2016,2016,23761450.0,18439150.0,29543700.0,Tobacco,Behavioural risks
3.0,High alcohol use,DALYs,2016,2016,99204890.0,88310440.0,111168340.0,High alcohol use,Behavioural risks
3.0,Drug use,DALYs,2016,2016,31836260.0,27445880.0,36580020.0,Drug use,Behavioural risks
2.0,Dietary risks,DALYs,2016,2016,229065540.0,197533690.0,262533950.0,Dietary risks,Behavioural risks
3.0,Diet low in fruits,DALYs,2016,2016,60982390.0,38806060.0,87349090.0,Dietary risks,Behavioural risks
3.0,Diet low in vegetables,DALYs,2016,2016,35489090.0,17454480.0,57174790.0,Dietary risks,Behavioural risks
3.0,Diet low in legumes,DALYs,2016,2016,14214450.0,6113490.0,23571090.0,Dietary risks,Behavioural risks
3.0,Diet low in whole grains,DALYs,2016,2016,62596110.0,42330990.0,86426660.0,Dietary risks,Behavioural risks
3.0,Diet low in nuts and seeds,DALYs,2016,2016,49492970.0,32430010.0,66636039.99999999,Dietary risks,Behavioural risks
3.0,Diet low in milk,DALYs,2016,2016,2581500.0,930450.0,4435440.0,Dietary risks,Behavioural risks
3.0,Diet high in red meat,DALYs,2016,2016,1247330.0,508190.0,2077330.0,Dietary risks,Behavioural risks
