,Overarching_group,Group,Risk_factor,anal_year,median_Deaths,min_Deaths,max_Deaths,n_estimates_Deaths,mean_Deaths,std_Deaths,mad_Deaths,range_Deaths,fold_range_vs_median_Deaths,rmu_Deaths,cv_Deaths,max_vs_min_Deaths,f_med_Deaths,rcv_m_Deaths,median_DALYs,min_DALYs,max_DALYs,n_estimates_DALYs,mean_DALYs,std_DALYs,mad_DALYs,range_DALYs,fold_range_vs_median_DALYs,rmu_DALYs,cv_DALYs,max_vs_min_DALYs,f_med_DALYs,rcv_m_DALYs
128,Behavioural risks,Dietary risks,Diet high in trans fatty acids,2007,338169.902079742,125636.426582325,535423.199160271,4.0,334349.85747552,182180.1614872305,142711.5995801355,409786.77257794596,1.2117777781457215,1.2256226925652247,0.5448788369846072,4.261687583174196,2.6916548908540587,0.6254210953637396,8764737.769056201,3178766.05268717,12369365.2426943,4,8269401.708373467,4395247.065380628,3159682.62134715,9190599.19000713,1.0485880390460085,1.1113983228920747,0.5315072626028156,3.891247433021331,2.75727676204637,0.5342600963338017
129,Behavioural risks,Dietary risks,Diet high in trans fatty acids,2010,469974.602399992,111583.900168929,545108.753429852,4.0,399160.4645996912,198437.22946953436,60209.77431493398,433524.85326092294,0.9224431512832114,1.0860916641523979,0.49713648286420964,4.8851917938394465,4.211849574073755,0.18986320766922718,11475798.76504685,2812708.7494609,12510166.2369706,4,9568618.1291313,4531250.681915653,575284.35343845,9697457.4875097,0.8450355122160518,1.0134647821283778,0.4735532989994061,4.447728987001718,4.079981180862173,0.07429299077573207
130,Behavioural risks,Dietary risks,Diet high in trans fatty acids,2013,429609.54963285103,112164.626215486,569718.488118864,4.0,385275.553400013,194722.9151260019,82359.244059432,457553.86190337804,1.0650458359093937,1.1876015954438768,0.5054120704197146,5.079306260285169,3.8301696722770964,0.28411007111082365,10973531.2804,2806932.0461899,12916438.0262728,4,9417608.158315675,4589777.9385662,1520719.0131364,10109505.9800829,0.9212627842178432,1.0734685293904784,0.48736131949952305,4.601621205545548,3.90943959448372,0.20537651188852254
131,Behavioural risks,Dietary risks,Diet high in trans fatty acids,2015,456316.56936572853,117298.102695485,590657.424304026,4.0,405147.166432742,202193.04761782516,71328.71215201297,473359.32160854095,1.0373485281643433,1.1683638954614848,0.4990607472294663,5.035524111054197,3.8902297554663936,0.23165749066753583,11912316.51713795,2931306.62038057,13286514.9589822,4,10010613.653409667,4771603.506259165,854257.4794910997,10355208.33860163,0.8692858625527496,1.0344229332109518,0.47665444611719,4.532625439660494,4.063824792096086,0.10627736282732528
132,Behavioural risks,Dietary risks,Diet high in trans fatty acids,2016,349467.53704760247,119682.276755504,601559.76894185,4.0,355044.2799481398,222030.4011784177,177806.3986698505,481877.49218634603,1.378890572375847,1.3572320958296593,0.6253597472710981,5.0263061937797335,2.919960636791036,0.7540302170980325,8795995.37216215,2994880.51180577,13500004.810037,4,8521719.016541768,5248422.471706359,4194492.4050185,10505124.29823123,1.1943076199742197,1.2327470875112654,0.615887764137551,4.5076939653586185,2.937010454169534,0.7067122572518361
133,Behavioural risks,Dietary risks,Diet high in trans fatty acids,2017,368883.230729755,120838.963064363,612683.120389941,4.0,367822.1362284535,220265.0092865054,177341.56019497052,491844.15732557804,1.333332925849114,1.3371793290333531,0.5988356534085792,5.070244769177678,3.0526845098238313,0.7124753046892749,9327764.0611357,3015805.95637381,13688247.0218852,4,8839895.275132602,5098104.917577295,3764123.5109425997,10672441.06551139,1.1441585567090309,1.2073040158670092,0.5767155332618825,4.538835462193954,3.09295896223753,0.5980458989587406
134,Behavioural risks,Dietary risks,Diet high in trans fatty acids,2019,414415.813391315,90463.7062089368,644980.994780061,3.0,383286.8381267709,278566.17823568115,230565.18138874596,554517.2885711242,1.3380698097239774,1.4467423177931285,0.7267825307988954,7.129721098209263,4.581017413040451,0.8245283789290906,10975224.5698048,2410925.36633178,14234236.9514579,3,9206795.629198162,6106814.218414191,3259012.3816531003,11823311.58512612,1.077272862156697,1.2841939868448928,0.6632942083613999,5.904055409693282,4.552287152091975,0.44006902263283676
135,Behavioural risks,Dietary risks,Diet high in trans fatty acids,2021,272381.3007820136,93310.7014985043,451451.900065523,2.0,272381.3007820136,253244.07012901676,179070.59928350933,358141.19856701867,1.3148523688622757,1.3148523688622757,0.929741026281711,4.8381578191517445,2.919078909575872,0.9743056053269464,7252892.5735094,2491995.345688,12013789.8013308,2,7252892.5735094,6732925.428649494,4760897.2278214,9521794.455642799,1.3128271733157029,1.3128271733157029,0.9283089967775005,4.820951942032615,2.9104759710163073,0.972804935426936
136,Behavioural risks,Dietary risks,Diet low in calcium,1990,63708.6905775279,53344.244366577,85000.0,5.0,67844.8417273101,14993.447994205955,10364.446210950904,31655.755633423003,0.49688284826542967,0.4665904559208423,0.22099613784153807,1.5934240143301572,1.3341978814736812,0.2410991207853712,1577737.27529315,1414216.29269633,1870000.0,5,1632459.7929256218,210202.99441262014,163520.98259682,455783.70730367,0.2888844134198348,0.2792005716029518,0.12876457682054374,1.3222871279715478,1.1852416934578327,0.15359851098368696
137,Behavioural risks,Dietary risks,Diet low in calcium,2005,82454.3808968946,60103.6067620861,127000.0,4.0,88003.09213896882,30948.98377268256,19181.65250277435,66896.3932379139,0.8113139958150284,0.7601595763507426,0.35168064008262256,2.113017950864685,1.5402456318095172,0.34476287008519896,2023282.041883765,1512599.15694304,2721000.0,4,2070040.8101776424,566446.1349531433,422569.5213814101,1208400.84305696,0.5972478468359683,0.5837570144103874,0.27364008099170434,1.798890332253745,1.3448446354353192,0.30952087634019876
