measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2022,27535.80602289777,44442.6769462642,2.972456e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2022,23678.826800476552,41449.91570959593,1.925941e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2022,51214.63282337433,85636.98836000075,1.4438543e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2023,27780.405689547875,45324.32758658343,1.8225042e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2023,23879.093306503208,41909.0680298447,2.949626e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2023,51659.49899605101,86956.02621891118,1.962631e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1990,91.49675904157152,218.0741068649634,11.263547225527816
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1990,46.10157668791297,103.77489970761764,6.348732792092116
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1990,137.59833572948463,323.6940520000891,17.61228001761993
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1991,87.86340243994654,204.00231602852045,10.942011169348572
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1991,44.51385395529727,98.67442836657044,6.299639222619198
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1991,132.3772563952439,304.066702623189,17.241650391967774
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1992,86.7888431445473,197.3409886235225,11.223501977411573
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1992,44.27573648183269,97.01264826729836,6.541313449738439
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1992,131.06457962637995,294.0824734835156,17.764815427150012
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1993,86.14392385327328,194.00018279051105,11.581740574660596
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1993,44.26237880265463,97.11396227199776,6.899701299856766
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1993,130.40630265592785,291.11414506250884,18.48144187451736
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1994,83.49895167743473,190.0753171290227,11.846349448767803
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1994,43.34320400130266,95.4643549945136,7.085776772045175
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1994,126.8421556787374,285.7201039669347,18.932126220812982
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1995,81.91136235530779,187.8098286660633,12.367407606066276
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1995,42.462851904166136,90.98352951439163,7.220568395518544
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1995,124.37421425947404,283.8110991057693,19.724596056995352
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1996,78.57142933579334,175.37403187463497,12.615704579915212
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1996,41.07057704504557,85.7438175328976,6.838201654176656
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1996,119.6420063808388,269.44749958116626,19.55463534078228
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1997,75.25685791326661,163.59271543901207,11.949896656344078
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1997,40.16740312475056,83.01450442157366,6.586288935577124
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1997,115.42426103801716,252.16612283464545,18.67246195745408
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1998,73.31792412989061,153.60697284965457,11.66219689833581
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1998,38.90625593743673,81.40750596110449,6.338475873628076
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1998,112.2241800673274,236.555177319608,18.009034879247764
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1999,69.69221496576095,140.72388299196797,11.00373530357198
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1999,36.933402422021295,77.88695382132724,6.061891675190327
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,1999,106.62561738778228,215.75553225131912,17.095558971795136
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,2000,65.14341413897498,132.11921443573124,10.1352702958324
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,2000,34.304395116666846,70.90220950121727,5.648466897959391
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,2000,99.4478092556418,203.10964570237712,15.837208241311336
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,2001,63.244051553758034,130.3623135313028,9.841857553519796
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",111,Diet low in fruits,1,Number,2001,32.83425410238238,68.06994124438997,5.4008315965292
