,Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Rank
1136,,Diet low in nuts and seeds,Deaths,2023,2023,884737.73530599,253652.387073351,1531622.40805804,5.0
1137,,Diet low in vegetables,Deaths,2023,2023,933564.222646574,532011.362423504,1365700.10979821,4.0
1138,,Diet low in fiber,Deaths,2023,2023,453169.00922195,126935.827029265,986025.498418398,9.0
1139,,Diet high in red meat,Deaths,2023,2023,364148.935331213,2.772286e-09,517434.787975671,11.0
1141,,Diet high in trans fatty acids,Deaths,2023,2023,389238.135450795,20866.0930470164,760535.909433043,10.0
1143,,Diet high in sodium,Deaths,2023,2023,1672000.56072272,245561.922879979,4154920.22686427,2.0
1145,,Diet low in seafood omega-3 fatty acids,Deaths,2023,2023,521498.67692551,132450.425185383,1047911.20994965,8.0
1147,,Low physical activity,Deaths,2023,2023,670086.822616748,276153.55593431,1034962.83112973,6.0
1148,,Diet low in calcium,Deaths,2023,2023,80986.3020901851,60859.4188024898,103916.357718629,14.0
1161,,Diet low in legumes,Deaths,2023,2023,593529.780388168,-468420.351831637,1592852.70901489,7.0
89,,Diet low in fruits,DALYs,2010,2010,104095000.0,81833000.0,124169000.0,1.0
90,,Diet low in vegetables,DALYs,2010,2010,38559000.0,26006000.0,51658000.0,6.0
91,,Diet low in whole grains,DALYs,2010,2010,40762000.0,32112000.0,48486000.0,5.0
92,,Diet low in nuts and seeds,DALYs,2010,2010,51289000.0,33482000.0,65959000.0,4.0
93,,Diet low in milk,DALYs,2010,2010,2101000.0,619000.0,3544000.0,14.0
94,,Diet high in red meat,DALYs,2010,2010,1853000.0,870000.0,2946000.0,15.0
95,,Diet high in processed meat,DALYs,2010,2010,20939000.0,6982000.0,33468000.0,8.0
96,,"Diet high in 
sugar sweetened beverages",DALYs,2010,2010,8553000.0,5823000.0,11418000.0,12.0
97,,Diet low in fiber,DALYs,2010,2010,16452000.0,7401000.0,25783000.0,9.0
98,,Diet low in calcium,DALYs,2010,2010,2590000.0,1873000.0,3322000.0,13.0
99,,Diet low in seafood omega-3 fatty acids,DALYs,2010,2010,28199000.0,20624000.0,35974000.0,7.0
100,,"Diet low in 
polyunsaturated fatty acids",DALYs,2010,2010,11680000.0,5360000.0,17798000.0,10.0
101,,Diet high in trans fatty acids,DALYs,2010,2010,11592000.0,8395000.0,14623000.0,11.0
102,,Diet high in sodium,DALYs,2010,2010,61231000.0,40124000.0,80342000.0,3.0
103,,Low physical activity,DALYs,2010,2010,69318000.0,58646000.0,80182000.0,2.0
256,,Diet low in fruits,DALYs,2013,2013,74797000.0,49434000.0,98791000.0,1.0
257,,Diet low in vegetables,DALYs,2013,2013,39176000.0,31050000.0,47658000.0,5.0
258,,Diet low in whole grains,DALYs,2013,2013,51411000.0,39500000.0,63286000.0,3.0
259,,Diet low in nuts and seeds,DALYs,2013,2013,27109000.0,18408000.0,36030000.0,6.0
260,,Diet low in milk,DALYs,2013,2013,2218000.0,633000.0,3713000.0,15.0
261,,Diet high in red meat,DALYs,2013,2013,4147000.0,3349000.0,5026000.0,13.0
262,,Diet high in processed meat,DALYs,2013,2013,17380000.0,12677000.0,23925000.0,9.0
263,,"Diet high in 
sugar sweetened beverages",DALYs,2013,2013,6190000.0,4665000.0,8142000.0,12.0
264,,Diet low in fiber,DALYs,2013,2013,22098000.0,17996000.0,26349000.0,8.0
265,,Diet low in calcium,DALYs,2013,2013,2876000.0,2507000.0,3258000.0,14.0
266,,Diet low in seafood omega-3 fatty acids,DALYs,2013,2013,22448000.0,16887000.0,28205000.0,7.0
267,,"Diet low in 
polyunsaturated fatty acids",DALYs,2013,2013,12670000.0,11103000.0,14342000.0,10.0
268,,Diet high in trans fatty acids,DALYs,2013,2013,9875000.0,5503000.0,15228000.0,11.0
269,,Diet high in sodium,DALYs,2013,2013,74327000.0,40615000.0,116717000.0,2.0
274,,Low physical activity,DALYs,2013,2013,45143000.0,38328000.0,52671000.0,4.0
412,,Diet low in fruits,DALYs,2015,2015,72590000.0,48514000.0,98667000.0,3.0
413,,Diet low in vegetables,DALYs,2015,2015,44632000.0,23572000.0,68817000.0,5.0
414,,Diet low in whole grains,DALYs,2015,2015,79813000.0,57571000.0,104238000.0,2.0
415,,Diet low in nuts and seeds,DALYs,2015,2015,49411000.0,32716000.0,68196000.0,4.0
416,,Diet low in milk,DALYs,2015,2015,2603000.0,897000.0,4382000.0,13.0
417,,Diet high in red meat,DALYs,2015,2015,1752000.0,638000.0,2957000.0,14.0
